Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12, C13, C14, C26, C4, C6",0805,7,10uF 0805 16V,C15850
"C11, C5",0603,2,22pF 0603 16V,C1653
"C15, C16, C17, C18, C19, C20, C21, C22, C23, C9",0402,10,100nF 0402 16V,C1525
"C1_1, C1_10, C1_11, C1_12, C1_13, C1_14, C1_15, C1_16, C1_17, C1_18, C1_19, C1_2, C1_20, C1_21, C1_22, C1_23, C1_24, C1_25, C1_26, C1_27, C1_28, C1_29, C1_3, C1_30, C1_31, C1_32, C1_33, C1_34, C1_35, C1_36, C1_4, C1_5, C1_6, C1_7, C1_8, C1_9",0603,36,2.2uF 0603 25V,C99227
"C2, C24, C25, C30, C31, C32, C3_1, C3_10, C3_11, C3_12, C3_13, C3_14, C3_15, C3_16, C3_17, C3_18, C3_19, C3_2, C3_20, C3_21, C3_22, C3_23, C3_24, C3_25, C3_26, C3_27, C3_28, C3_29, C3_3, C3_30, C3_31, C3_32, C3_33, C3_34, C3_35, C3_36, C3_4, C3_5, C3_6, C3_7, C3_8, C3_9, C5_1, C5_10, C5_11, C5_12, C5_13, C5_14, C5_15, C5_16, C5_17, C5_18, C5_19, C5_2, C5_20, C5_21, C5_22, C5_23, C5_24, C5_25, C5_26, C5_27, C5_28, C5_29, C5_3, C5_30, C5_31, C5_32, C5_33, C5_34, C5_35, C5_36, C5_4, C5_5, C5_6, C5_7, C5_8, C5_9, C6_1, C6_10, C6_11, C6_12, C6_13, C6_14, C6_15, C6_16, C6_17, C6_18, C6_19, C6_2, C6_20, C6_21, C6_22, C6_23, C6_24, C6_25, C6_26, C6_27, C6_28, C6_29, C6_3, C6_30, C6_31, C6_32, C6_33, C6_34, C6_35, C6_36, C6_4, C6_5, C6_6, C6_7, C6_8, C6_9",0402,114,1uF 0402 16V,C52923
"C2_1, C2_10, C2_11, C2_12, C2_13, C2_14, C2_15, C2_16, C2_17, C2_18, C2_19, C2_2, C2_20, C2_21, C2_22, C2_23, C2_24, C2_25, C2_26, C2_27, C2_28, C2_29, C2_3, C2_30, C2_31, C2_32, C2_33, C2_34, C2_35, C2_36, C2_4, C2_5, C2_6, C2_7, C2_8, C2_9",0603,36,2.2uF 0603 16V,C23630
"C3, C8",0402,2,27pF 0402 16V,C1557
"C33, C34, C4_1, C4_10, C4_11, C4_12, C4_13, C4_14, C4_15, C4_16, C4_17, C4_18, C4_19, C4_2, C4_20, C4_21, C4_22, C4_23, C4_24, C4_25, C4_26, C4_27, C4_28, C4_29, C4_3, C4_30, C4_31, C4_32, C4_33, C4_34, C4_35, C4_36, C4_4, C4_5, C4_6, C4_7, C4_8, C4_9",CP_EIA-3216-18_Kemet-A,38,4.7uF 3216 25V Tantalum,C129569
D1,0805,1,Red 0805 C84256,C84256
"D12, D1_1, D1_10, D1_11, D1_12, D1_13, D1_14, D1_15, D1_16, D1_17, D1_18, D1_19, D1_2, D1_20, D1_21, D1_22, D1_23, D1_24, D1_25, D1_26, D1_27, D1_28, D1_29, D1_3, D1_30, D1_31, D1_32, D1_33, D1_34, D1_35, D1_36, D1_4, D1_5, D1_6, D1_7, D1_8, D1_9",D_SOD-323Ext,37,1N4148WS,C2128
D2,D_SOD-323Ext,1,1N5819WS,C191023
D5,0805,1,Green 0805 C2297,C2297
D6,0805,1,Yellow 0805 C2296,C2296
"FB1, FB2",0805,2,GZ2012D601TF,C1017
"J1, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J3, J30, J31, J32, J33, J34, J35, J36, J4, J5, J6, J7, J8, J9",FH34SRJ14S05SH50-Rev2,36,FH34SRJ-14S-0.5SH,C324724
J37,FH34SRJ12S05SH50-Rev2,1,FH34SRJ-12S-0.5SH,C424659
J39,Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,1,FH12-30S-0.5SH,C506793
"L1, L2",MCS0530-4R7MN2,2,4.7uH,C2836880
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED4, LED5, LED6, LED7, LED8, LED9",WS2812B-Mini-Rev2,36,WS2812B-Mini,C527089
"R1, R2",0603,2,22 0603,C23345
"R10, R11, R30",0603,3,390k 0603,C23150
"R12, R17",0603,2,150k 0603,C22807
R13,0603,1,12k 0603,C22790
R14,0603,1,680k 0603,C25822
"R25, R15, R1_1, R1_10, R1_11, R1_12, R1_13, R1_14, R1_15, R1_16, R1_17, R1_18, R1_19, R1_2, R1_20, R1_21, R1_22, R1_23, R1_24, R1_25, R1_26, R1_27, R1_28, R1_29, R1_3, R1_30, R1_31, R1_32, R1_33, R1_34, R1_35, R1_36, R1_4, R1_5, R1_6, R1_7, R1_8, R1_9, R20",0402,39,10K 0402,C25744
"R16, R19, R5, R6",0603,4,1k 0603,C21190
R18,0603,1,10M 0603,C7250
R21,0402,1,1K 0402,C11702
"R22, R23",0603,2,27 0603,C25190
R24,0603,1,2M2 0603,C170723
"R3, R4, R7, R9",0402,4,5.1K 0402,C25905
R8,0402,1,5.6K 0402,C25908
"SW2, SW3",Panasonic_EVQPUL_EVQPUC,2,EVQPUC02K,C79174
"SW_K_1, SW_K_10, SW_K_11, SW_K_12, SW_K_13, SW_K_14, SW_K_15, SW_K_16, SW_K_17, SW_K_18, SW_K_19, SW_K_2, SW_K_20, SW_K_21, SW_K_22, SW_K_23, SW_K_24, SW_K_25, SW_K_26, SW_K_27, SW_K_28, SW_K_29, SW_K_3, SW_K_30, SW_K_31, SW_K_32, SW_K_33, SW_K_34, SW_K_35, SW_K_36, SW_K_4, SW_K_5, SW_K_6, SW_K_7, SW_K_8, SW_K_9",Kailh_socket_MX_Indicators,36,Kailh CPG151101S11-16,C5156480
"U1, U2",TSOT-23-5,2,TD6811,C189486
U10,RP2040-QFN-56,1,RP2040,C2040
U11,USON-10,1,TPD4E05U06DQAR,C2836386
"U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25",SOT-353_SC-70-5,14,SN74LVC1G126DBVR,C151890
U3,SOT-23-5,1,MT9700,C89855
"U4, U5, U6, U7, U8",Nexperia 74HC595BQ DHVQFN16,5,74HC595BQ,C3303719
U9,SON80P400X400X50-9N,1,W25Q64JVXGIQ,C2940195
"USB1, USB2",HRO-TYPE-C-31-M-12-Assembly,2,TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,TAXM12M4RFBCCT2T,C133337
